,영화'맘마미아1' 감상평
190,"미국문화의 문란한 성문화를 제대로 알려주는영화가임기간에 대체 몇명의 남자와 성관계를 했으면 자기 딸 아빠가 누군지도 모를까이런영화가 12세 관람가라니...그냥 아바 노래 들으며 ""걸어서 세상 속으로 ""보는게 나을꺼같다.."
191,"노래는 확실히 좋으나 , 스토리가 너무 막장이라서 .. 주관적인 점수는 8점 정도?"
192,"1,2 모두 인생영화!"
193,"레미제라블 미녀와야수 등 뮤지컬영화 다 재미있는데..유일하게 재미없는 영화..영화관에서 보다잤는데 혹시나해서 다시봐도 재미없음.도나는 못된 할머니가 머리 기르고 이쁜척하고,단발머니 못생긴 아줌마랑 흑인남자 신은 정말 토나옴."
194,이걸 왜 지금에서야 봤을까? 음악들도 좋고 재밌는 영화. 이런 뮤지컬 영화는 대환영이야!!
195,"그녀 자체로 눈부셨고, 그녀가 그리스였다"
196,"유치하고 엉성한, 저질스런 막장 이야기"
197,최고의 뮤지컬 영화..
198,다시 봐도 너무 재밌어요. 캐릭터가 주체적으로 이끄는 게 너무 재밌어.
199,이딴게 8점이라이니이해더럽게안가에2
200,음.. 지금 봐서 그런진 몰라도 지루한 감이 없지 않아 있다. 그 시절 막 개봉 햇을 때 봤다면 10점 만점에 10점을 줬을 것 같다.
201,노래나오는 모든 장면이 명장면 ㅎㅎㅎ 크... 두고두고 다시 볼 띵작이다
202,뮤지컬로 막장내용을 용서하라고?
203,2편 보기위해 방금 봤는데...우리나라 정서와는 동떨어지는 상황이었어요;;어디서 감동을 받아야하는지??
204,맘마미아를 가장 잘 이해하고 애정하는 사람들이 모여 만들어낸 환상적인 파티! 아바라는 소재는 마법의 꽃가루를 뿌리고 당혹스러운 갈등구조는 이내 화합의 밑거름이 된다. 허나 나에겐 Winner takes it all을 토해내던 그순간이 각인된 먹먹한영화
205,최고예요 최고최고 ㅎㅎ
206,진짜 진짜 진짜  소중한 영화
207,맘마미아~~ 맘마~마어
208,와 진짜 거의 다 아는 노래 나와서 신기했다..
209,너무 이쁘고 흥겹고 최고
210,ost만 너무 좋았던 영화
211,"우울한 시기에 보게 됐는데, 보다보니 치유 받는 느낌도 들고 더 나아가 연기자들의 흥에 함께 빠져 그순간은 더할나위 없이 행복했음.정말정말 기분 좋은 영화^^"
212,제일 좋아하는 영화가됨
