키워드,언론사,기사명,날짜,URL
인민망,"홍콩, 경제자유도 세계 1위 ‘수성’",2021.09.15.,http://kr.people.com.cn/n3/2021/0915/c203280-9896758.html,세계 경제
KBS,에콰도르 대통령 “한국 등 세계경제 톱10 국가와 FTA 체결 목표”,2021.09.11.,https://news.kbs.co.kr/news/view.do?ncd=5277678&ref=A,세계 경제
한국일보,‘세계 경제 수도’ 뉴욕도 잠겼다… 미국 심장부마저 삼킨 기후위기 재앙,6면 TOP,https://hankookilbo.com/News/Read/A2021090311180002469?did=NA,세계 경제
뉴스1,美넘어 세계1위 경제대국 노리는 中…핵심은 '제조업 리부팅',2021.09.06.,https://www.news1.kr/articles/?4425492,세계 경제
한국경제,[김동욱 기자의 세계사 속 경제사] 공주 출가시켜 주변국 통제하던 중국…위구...,2021.09.14.,https://www.hankyung.com/society/article/2021091061801,세계 경제
비즈니스포스트,"미국언론 “코로나19 델타 변이가 세계경제에 준 충격은 예상보다 커""",2021.09.15.,https://www.businesspost.co.kr/BP?command=article_view&num=250492,세계 경제
뉴스1,델타 변이로 세계경제 회복 주춤…한은 금리인상 괜찮을까?,2021.09.01.,https://www.news1.kr/articles/?4420878,세계 경제
문화일보,세계경제 ‘델타변이’ 직격탄… Fed “성장기어 저속으로 변환”,12면 TOP,http://www.munhwa.com/news/view.html?no=2021090901071203018001,세계 경제
무등일보,[경제인의 창]한국 스포츠 브랜드의 세계화를 소망하면서,2021.09.14.,http://www.mdilbo.com/detail/Zp2jeM/654186,세계 경제
중앙일보,[김동호의 세계경제전망] 전 세계가 금융허브 위해 뛰는데 한국만 멈춰서 있다,A26면 1단,https://www.joongang.co.kr/article/25005253,세계 경제
채널예스,"[돈의 진격] 포스트 코로나 시대, 부와 세계 경제의 길을 묻다",2021.09.16.,http://ch.yes24.com/Article/View/45893,세계 경제
이데일리,'세계 경제 엔진' G2 경기 둔화 심상찮다,A1면 4단,http://www.edaily.co.kr/news/newspath.asp?newsid=03178326629176184,세계 경제
한국경제TV,"전광우 세계경제연구원 이사장 ""코로나19로 ESG경영 가속화""",2021.09.02.,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109020054&t=NN,세계 경제
아주경제,[성보경 칼럼] (13) 세계경제패권 핵심 무기는 'M&A전사들',2021.09.06.,http://www.ajunews.com/view/20210905134233993,세계 경제
이투데이,델타 변이에 글로벌 경기회복 한계?…흔들리는 세계 경제 주축들,2021.09.06.,https://www.etoday.co.kr/news/view/2059957,세계 경제
이코노텔링,"영화로 쓰는 세계경제위기史(12)더 본드⑲채플린 ""전선 나갈 것""",2021.09.14.,http://www.econotelling.com/news/articleView.html?idxno=5300,세계 경제
조선비즈,구광모 “재무지표는 사업 목적 될 수 없다… 고객 가치에서 출발해야”,12분 전,https://biz.chosun.com/industry/company/2021/10/01/IJC535WSYRFSDC4QZ6SRSPHPTA/?utm_source=naver&utm_medium=original&utm_campaign=biz,세계 경제
SBS,"홍남기 ""가계 부채 억제…실수요자, 상환 능력 내 대출""",2021-09-30,https://news.sbs.co.kr/news/endPage.do?news_id=N1006481668&plink=ORI&cooper=NAVER,세계 경제
이코노텔링,영화로 쓰는 세계경제위기史(12)더 본드⑳상영시간 10분의 선전영화,2021.09.15.,http://www.econotelling.com/news/articleView.html?idxno=5498,세계 경제
머니투데이,중국이 휘두른 칼에 세계 경제도 '흔들'…韓 게임·엔터주 괜찮나?,2021.09.01.,http://news.mt.co.kr/mtview.php?no=2021083120220836979,세계 경제
파이낸셜뉴스,"구자열 LS 회장, 지니어워즈 수상..상금 5만달러 기부",2021-09-30,http://www.fnnews.com/news/202109301146119097,세계 경제
레디앙,신간 『팬데믹 이후 세계경제』 외,2021.09.11.,http://www.redian.org/archive/156390,세계 경제
한국무역신문,브루킹스 “저소득국 백신 및 재정 지원 부족이 세계경제 회복 제약”,2021.09.17.,http://www.weeklytrade.co.kr/news/view.html?section=1&category=136&item=&no=75789,세계 경제
매일경제,"세계경제포럼 “암호화폐, 투명한 경제 시스템 만들 기회 제공” 등",2021.09.07.,http://news.mk.co.kr/newsRead.php?no=861214&year=2021,세계 경제
이투데이,"“코로나 재확산에도 끄떡없다”...인도, 올해 세계 최고 경제 성장 전망",2021.08.31.,https://www.etoday.co.kr/news/view/2058339,세계 경제
한국경제,[김동욱 기자의 세계사 속 경제사] 금속화폐뿐 아니라 지폐도 가치하락 거듭…...,2021.09.06.,https://www.hankyung.com/news/article/2021090398701,세계 경제
MBC,"급속히 늘어나는 가계부채‥""최대한 억제""",2021-09-30,https://imnews.imbc.com/replay/2021/nw1200/article/6303982_34908.html,세계 경제
전자신문,구자열 LS그룹 회장 '지니어워즈' 수상…상금 전액 기부,25면 2단,http://www.etnews.com/20210930000069,세계 경제
머니S,"""내년엔 가계대출 더 조인다""… 6→4%대로 증가세 억제",2021-10-01,http://moneys.mt.co.kr/news/mwView.php?no=2021093016108099447,세계 경제
JTBC,"[중국은, 왜] '괘씸죄' 호주에 무차별 경제보복…中, 제 발등 찍었다",2021-10-01,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12025416,세계 경제
한국경제,"머스크 ""암호화폐 파괴 못해…정부는 아무것도 하지 말라""",2021-09-30,https://www.hankyung.com/economy/article/202109293257i,세계 경제
재외동포신문,'제25차 세계한인경제인대회' 10월 11~15일 서울서 개최 ,2021.09.03.,http://www.dongponews.net/news/articleView.html?idxno=44631,세계 경제
매일경제,"美·EU 무역委 출범…中 겨냥해 ""불공정 행위 차단""",A10면 TOP,http://news.mk.co.kr/newsRead.php?no=931894&year=2021,세계 경제
중앙일보,"SK는 ‘도시유전’, 두산은 '수소전지'…탄소중립 속도 낸다",2021-09-30,https://www.joongang.co.kr/article/25011282,세계 경제
MBC,"중국, 국경절 72주년 기념 리셉션‥""새로운 국제관계 건설하자""",2021-10-01,https://imnews.imbc.com/news/2021/world/article/6304144_34880.html,세계 경제
데일리안,신한금융지주 창립 20주년 기념 세계경제연구원-신한금융그룹 국제컨퍼런스,2021.09.02.,https://www.dailian.co.kr/news/view/1028886/?sc=Naver,세계 경제
SBS,"파월 ""공급망 병목현상으로 인플레 내년까지…결국 극복 전망""",2021-09-30,https://news.sbs.co.kr/news/endPage.do?news_id=N1006481314&plink=ORI&cooper=NAVER,세계 경제
조선일보,"10월 1일 정부 폐쇄, 중순엔 국가 부도? 美가 더블 위기 맞은 이유",2021-09-30,https://www.chosun.com/international/us/2021/09/30/G2T7CMLKJNDRXFVDLRJYAUWVTY/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,세계 경제
중앙일보,"SK 도시유전, 두산 수소전지…재계, 탄소중립 가속도",E4면 1단,https://www.joongang.co.kr/article/25011437,세계 경제
전자신문,"""대출 실수요자 위한 가계부채 관리대책 이달 중 마련""",2021-09-30,http://www.etnews.com/20210930000149,세계 경제
뉴스1,"산업부, '철강 공급과잉 글로벌포럼' 참석해 해소 방안 등 논의",12분 전,https://www.news1.kr/articles/?4449281,세계 경제
인민망,"홍콩, 경제자유도 세계 1위 ‘수성’",2021.09.15.,http://kr.people.com.cn/n3/2021/0915/c203280-9896758.html,세계 경제
KBS,에콰도르 대통령 “한국 등 세계경제 톱10 국가와 FTA 체결 목표”,2021.09.11.,https://news.kbs.co.kr/news/view.do?ncd=5277678&ref=A,세계 경제
서울경제,"글로벌 CEO 10명 중 6명 ""향후 3년간 세계 경제 코로나 이전 수준 회복할 것""",2021.09.01.,https://www.sedaily.com/NewsView/22RAOLLKOL,세계 경제
한국일보,‘세계 경제 수도’ 뉴욕도 잠겼다… 미국 심장부마저 삼킨 기후위기 재앙,6면 TOP,https://hankookilbo.com/News/Read/A2021090311180002469?did=NA,세계 경제
뉴스1,美넘어 세계1위 경제대국 노리는 中…핵심은 '제조업 리부팅',2021.09.06.,https://www.news1.kr/articles/?4425492,세계 경제
한국경제,[김동욱 기자의 세계사 속 경제사] 공주 출가시켜 주변국 통제하던 중국…위구...,2021.09.14.,https://www.hankyung.com/society/article/2021091061801,세계 경제
비즈니스포스트,"미국언론 “코로나19 델타 변이가 세계경제에 준 충격은 예상보다 커""",2021.09.15.,https://www.businesspost.co.kr/BP?command=article_view&num=250492,세계 경제
뉴스1,델타 변이로 세계경제 회복 주춤…한은 금리인상 괜찮을까?,2021.09.01.,https://www.news1.kr/articles/?4420878,세계 경제
문화일보,세계경제 ‘델타변이’ 직격탄… Fed “성장기어 저속으로 변환”,12면 TOP,http://www.munhwa.com/news/view.html?no=2021090901071203018001,세계 경제
무등일보,[경제인의 창]한국 스포츠 브랜드의 세계화를 소망하면서,2021.09.14.,http://www.mdilbo.com/detail/Zp2jeM/654186,세계 경제
중앙일보,[김동호의 세계경제전망] 전 세계가 금융허브 위해 뛰는데 한국만 멈춰서 있다,A26면 1단,https://www.joongang.co.kr/article/25005253,세계 경제
뉴스1,세계경제연구원-신한금융그룹 국제컨퍼런스,2021.09.02.,https://www.news1.kr/photos/view/?4952400,세계 경제
한국무역신문,"OECD, 세계경제 성장률 전망치 수정 ""경기회복 지속 불구 모멘텀 다소 둔화""",2021.09.22.,http://www.weeklytrade.co.kr/news/view.html?section=1&category=136&item=&no=75844,세계 경제
채널예스,"[돈의 진격] 포스트 코로나 시대, 부와 세계 경제의 길을 묻다",2021.09.16.,http://ch.yes24.com/Article/View/45893,세계 경제
연합인포맥스,"글로벌 CEO 60% ""세계 경제, 3년 내 코로나19 이전 수준으로 회복""",2021.09.01.,http://news.einfomax.co.kr/news/articleView.html?idxno=4165413,세계 경제
이데일리,'세계 경제 엔진' G2 경기 둔화 심상찮다,A1면 4단,http://www.edaily.co.kr/news/newspath.asp?newsid=03178326629176184,세계 경제
한국경제TV,"전광우 세계경제연구원 이사장 ""코로나19로 ESG경영 가속화""",2021.09.02.,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109020054&t=NN,세계 경제
아주경제,[성보경 칼럼] (13) 세계경제패권 핵심 무기는 'M&A전사들',2021.09.06.,http://www.ajunews.com/view/20210905134233993,세계 경제
이투데이,델타 변이에 글로벌 경기회복 한계?…흔들리는 세계 경제 주축들,2021.09.06.,https://www.etoday.co.kr/news/view/2059957,세계 경제
이코노텔링,"영화로 쓰는 세계경제위기史(12)더 본드⑲채플린 ""전선 나갈 것""",2021.09.14.,http://www.econotelling.com/news/articleView.html?idxno=5300,세계 경제
IT비즈뉴스,"글로벌 CEO 절반 이상, ""3년 내 세계경제 회복 전망""",2021.09.01.,https://www.itbiznews.com/news/articleView.html?idxno=47845,세계 경제
뉴시스,"고승범 금융위원장, 세계경제연구원-신한금융그룹 국제컨퍼런스 참석",2021.09.02.,http://www.newsis.com/view/?id=NISI20210902_0017904196,세계 경제
이투데이,델타 변이에 글로벌 경기회복 한계?…흔들리는 세계 경제 주축들,2021.09.06.,https://www.etoday.co.kr/news/view/2059957,세계 경제
이코노텔링,"영화로 쓰는 세계경제위기史(12)더 본드⑲채플린 ""전선 나갈 것""",2021.09.14.,http://www.econotelling.com/news/articleView.html?idxno=5300,세계 경제
조선비즈,구광모 “재무지표는 사업 목적 될 수 없다… 고객 가치에서 출발해야”,12분 전,https://biz.chosun.com/industry/company/2021/10/01/IJC535WSYRFSDC4QZ6SRSPHPTA/?utm_source=naver&utm_medium=original&utm_campaign=biz,세계 경제
아시아경제,"전광우 세계경제연구원 이사장 ""코로나19로 ESG 경영 접근법 급물살""",2021.09.02.,https://view.asiae.co.kr/article/2021090208212721159,세계 경제
SBS,"홍남기 ""가계 부채 억제…실수요자, 상환 능력 내 대출""",2021-09-30,https://news.sbs.co.kr/news/endPage.do?news_id=N1006481668&plink=ORI&cooper=NAVER,세계 경제
이코노텔링,영화로 쓰는 세계경제위기史(12)더 본드⑳상영시간 10분의 선전영화,2021.09.15.,http://www.econotelling.com/news/articleView.html?idxno=5498,세계 경제
머니투데이,중국이 휘두른 칼에 세계 경제도 '흔들'…韓 게임·엔터주 괜찮나?,2021.09.01.,http://news.mt.co.kr/mtview.php?no=2021083120220836979,세계 경제
파이낸셜뉴스,"구자열 LS 회장, 지니어워즈 수상..상금 5만달러 기부",2021-09-30,http://www.fnnews.com/news/202109301146119097,세계 경제
이코노텔링,영화로 쓰는 세계경제위기史(12)더 본드⑳상영시간 10분의 선전영화,2021.09.15.,http://www.econotelling.com/news/articleView.html?idxno=5498,세계 경제
머니투데이,중국이 휘두른 칼에 세계 경제도 '흔들'…韓 게임·엔터주 괜찮나?,2021.09.01.,http://news.mt.co.kr/mtview.php?no=2021083120220836979,세계 경제
파이낸셜뉴스,"구자열 LS 회장, 지니어워즈 수상..상금 5만달러 기부",2021-09-30,http://www.fnnews.com/news/202109301146119097,세계 경제
레디앙,신간 『팬데믹 이후 세계경제』 외,2021.09.11.,http://www.redian.org/archive/156390,세계 경제
전자신문,구광모 LG회장 “재무지표 보다 고객 가치” 강조…사장단 워크숍 개최,11분 전,http://www.etnews.com/20211001000042,세계 경제
한국무역신문,브루킹스 “저소득국 백신 및 재정 지원 부족이 세계경제 회복 제약”,2021.09.17.,http://www.weeklytrade.co.kr/news/view.html?section=1&category=136&item=&no=75789,세계 경제
한국경제TV,고강도 가계부채 대책 10월 발표…“최대한 억제할 것”,2021-09-30,http://www.wowtv.co.kr/NewsCenter/News/Read?articleId=A202109300131&t=NN,세계 경제
머니S,[머니S포토] 개회사 전하는 전광우 세계경제연구원 이사장,2021.09.02.,http://moneys.mt.co.kr/news/mwView.php?no=2021090210468069022,세계 경제
아시아경제,[포토]세계경제연구원-신한금융그룹 국제컨퍼런스 기념촬영,2021.09.02.,https://view.asiae.co.kr/article/2021090209082453206,세계 경제
매일경제,"세계경제포럼 “암호화폐, 투명한 경제 시스템 만들 기회 제공” 등",2021.09.07.,http://news.mk.co.kr/newsRead.php?no=861214&year=2021,세계 경제
아시아경제,[포토]세계경제연구원-신한금융그룹 국제컨퍼런스 기념촬영,2021.09.02.,https://view.asiae.co.kr/article/2021090209082453206,세계 경제
뉴스핌,개회사하는 전광우 세계경제연구원 이사장,2021.09.02.,http://www.newspim.com/news/view/20210902000147,세계 경제
SBS Biz,홍남기 “가계부채 최대한 억제…실수요자 상환능력 범위 대출”,2021-09-30,https://biz.sbs.co.kr/article_hub/20000032631?division=NAVER,세계 경제
매일경제,"세계경제포럼 “암호화폐, 투명한 경제 시스템 만들 기회 제공” 등",2021.09.07.,http://news.mk.co.kr/newsRead.php?no=861214&year=2021,세계 경제
노컷뉴스,"LG 구광모 대표 ""재무지표에 앞서 '고객 가치' 경영에 집중""",11분 전,https://www.nocutnews.co.kr/news/5632654,세계 경제
