키워드,언론사,기사명,날짜,URL
더팩트,"충남도 ""재난지원금 못 받은 26만여명도 지급""",2021-09-28,http://news.tf.co.kr/read/national/1890039.htm,재난 지원금
뉴시스,"거리로 나온 공항노동자…""고용유지지원금 연장해야""",2021-09-30,http://www.newsis.com/view/?id=NISX20210929_0001596845&cID=10201&pID=10200,재난 지원금
동아일보,"“갤워치 판매, 재난금 노렸다”는 국회… 일단 CEO 부르고 보는 국감",A8면 TOP,https://www.donga.com/news/article/all/20210929/109462574/1,재난 지원금
뉴스핌,"계룡시의회, 재난지원금 원포인트 임시회 개회",2021-09-30,http://www.newspim.com/news/view/20210929000713,재난 지원금
뉴시스,단양군 이어 제천시도 전시민 재난지원금 지급,2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594583&cID=10806&pID=10800,재난 지원금
프레시안,"[고양소식] 고양시, 정부 상생지원금 제외 시민 25만원씩 지급 등  ",2021-09-30,https://www.pressian.com/pages/articles/2021092915485177800?utm_source=naver&utm_medium=search,재난 지원금
뉴스1,세종시도 재난지원금 100% 지급 '만지작',2021-09-29,https://www.news1.kr/articles/?4445627,재난 지원금
한겨레,"군위, 모든 군민에 ‘생활안정지원금’ 지급…5차 정부 지원금과는 별도",2021-09-29,https://www.hani.co.kr/arti/area/yeongnam/1013042.html,재난 지원금
머니투데이,"""이마트, 국민지원금 영향 지나면 주가 우상향""-유안타",2021-09-29,http://news.mt.co.kr/mtview.php?no=2021092908095180122,재난 지원금
LG헬로비전,"충남도, 올해 자체 재난지원금 720억 지급…전국 4위",2021-09-30,http://news.lghellovision.net/news/newsView.do?soCode=SC91000000&idx=320158,재난 지원금
뉴스1,당진시장 “국민지원금 상위 12% 미지급 대신 어려운 소상공인 지원”,2021-09-29,https://www.news1.kr/articles/?4445736,재난 지원금
뉴스1,광명시 '3차 경기도 재난지원금' 내달부터 지급,2021-09-28,https://www.news1.kr/articles/?4444482,재난 지원금
뉴시스,재난지원금으로 골프를?…줄줄 새는 지역화폐 논란,2021-09-27,http://www.newsis.com/view/?id=NISX20210926_0001593371&cID=10806&pID=10800,재난 지원금
파이낸셜뉴스,"기본소득 지방정부협의회, '국민지원금 100% 지급' 공식 건의",2021-09-29,http://www.fnnews.com/news/202109281711077222,재난 지원금
KBS,시민단체 “창원시 재난지원금 추가 지급해야”,2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5290515&ref=A,재난 지원금
안동MBC,R]어린이집 재난지원금 지급..임시회에서도 갈등,2021-09-30,http://andongmbc.co.kr/adboard/NewsView54066,재난 지원금
이데일리,"`노벨경제상` 美교수 ""고소득층 뺀 재난지원금, 돈 덜 들지만 지지 못얻어""",2021-09-29,http://www.edaily.co.kr/news/newspath.asp?newsid=03375126629184712,재난 지원금
노컷뉴스,뒤늦은 100% 재난지원금 지급 바람에 지자체 '속앓이',2021-09-29,https://www.nocutnews.co.kr/news/5630991,재난 지원금
대구MBC,올 상반기 재난지원금 대구 7개 특광역시 중 꼴찌,2021-09-30,https://dgmbc.com/article/sw_sd0FirzYsPx,재난 지원금
매일신문,"""차별 없이 교육재난지원금 지급하라""…경북 학부모 반발 고조",2021-09-29,https://news.imaeil.com/page/view/2021092810211446130,재난 지원금
세계일보,국민지원금 수령 비율로 확인된 빈부 격차…서울 74%〈경북 89%〈전남 90%,2021-09-30,http://www.segye.com/content/html/2021/09/29/20210929505124.html?OutUrl=naver,재난 지원금
서울신문,성남시 “대장동 배당금 1000억 재난지원금으로 사용”,2021-09-30,https://www.seoul.co.kr/news/newsView.php?id=20210929500190&wlog_tag3=naver,재난 지원금
동아일보,"충남도 재난지원금 100% 지급 방침… 당진시, 도내 유일 ‘반대’",A16면 1단,https://www.donga.com/news/article/all/20210929/109481067/1,재난 지원금
동아일보,갤워치 편의점서 이미 파는데… “재난금 노렸다”며 노태문 국감증인 채택,2021-09-29,https://www.donga.com/news/article/all/20210928/109457814/1,재난 지원금
이투데이,"[단독] 성남시, 대장동 개발 이익 1822억 중 942억 재난지원금으로 사용",2021-09-30,https://www.etoday.co.kr/news/view/2065418,재난 지원금
뉴시스,"구리시, 국민지원금 제외자 대상 재난기본소득 신청 접수",2021-09-28,http://www.newsis.com/view/?id=NISX20210927_0001594229&cID=10804&pID=14000,재난 지원금
뉴스1,"금산군의회, 금산군 재난지원금 지원에 관한 조례 의결",2021-09-30,https://www.news1.kr/articles/?4446762,재난 지원금
KBS,"경기도, ‘상위 12%’ 재난지원금 내일부터 온라인 접수",2021-09-30,https://news.kbs.co.kr/news/view.do?ncd=5290270&ref=A,재난 지원금
아주경제,국민지원금 신청 23일간 대상자 95.5% 지급,2021-09-30,http://www.ajunews.com/view/20210929102846956,재난 지원금
뉴스토마토,"새마을금고 ""내달부터 상생소비지원금 신청하세요""",2021-09-30,http://www.newstomato.com/ReadNews.aspx?no=1076748&inflow=N,재난 지원금
대구일보,‘재난지원금 역풍’ 수습 나선 경북교육청,2021-09-30,http://www.idaegu.com/newsView/idg202109290038,재난 지원금
신아일보,"철원, 코로나 재난지원금 지급율 90% 넘어서",2021-09-30,http://www.shinailbo.co.kr/news/articleView.html?idxno=1465310,재난 지원금
파이낸셜뉴스,하남시 재난기본소득 10월1일 접수시작,2021-09-27,http://www.fnnews.com/news/202109270711424046,재난 지원금
KBS,단양·제천 지원금 100% 지급…형평성 논란 ‘가열’,2021-09-29,https://news.kbs.co.kr/news/view.do?ncd=5288953&ref=A,재난 지원금
새전북신문,무주군 전 군민 국민지원금 지급,2021-09-28,http://sjbnews.com/news/news.php?number=724291,재난 지원금
경기신문,학교 밖 청소년 '교육재난지원금' 지원 조례 입법 예고,2021-09-30,https://www.kgnews.co.kr/news/article.html?no=669260,재난 지원금
중앙일보,"당진시장 ""지원금 100% 지급 반대""…소상공인 지원 확대",2021-09-29,https://www.joongang.co.kr/article/25010342,재난 지원금
매일경제TV,"경기도, 정부 재난지원금 상위 12% 지급…10월 1일부터 신청",2021-09-30,http://mbnmoney.mbn.co.kr/news/view?news_no=MM1004436992,재난 지원금
KBS,침체 속 지역 상권…지역 화폐·국민지원금으로 ‘숨통’,2021-09-29,https://news.kbs.co.kr/news/view.do?ncd=5289199&ref=A,재난 지원금
중앙일보,[단독]88%라더니 명부엔 84.7%…지원금 155만명 덜 받아,2021-09-27,https://www.joongang.co.kr/article/25009698,재난 지원금
국제뉴스,나주로컬푸드 추석 특판전 성황... 재난지원금도 한 몫,2021-09-29,http://www.gukjenews.com/news/articleView.html?idxno=2317371,재난 지원금
경남도민일보,"""창원시민 바람 대로 여윳돈 재난지원금으로""",2021-09-30,http://www.idomin.com/news/articleView.html?idxno=773817,재난 지원금
서울신문,본인 명의 휴대전화 없는 고령 소상공인…재난지원금 행정기관 대리 신청 등 ...,11면 1단,https://www.seoul.co.kr/news/newsView.php?id=20210930011021&wlog_tag3=naver,재난 지원금
경상매일신문,"포항시, 특별재난지역 재해복구 재정지원금 받아 복구 힘 보탠다",2021-09-30,http://www.ksmnews.co.kr/default/index_view_page.php?idx=351662&part_idx=7,재난 지원금
세계비즈,"국민지원금 사용처, 당근마켓에서 ‘내 근처’로 한 눈에",2021-09-30,http://www.segyebiz.com/newsView/20210930514950?OutUrl=naver,재난 지원금
아주경제,"경기도, 내달 1일부터 '3차 재난기본소득' 온라인 신청 시작",2021-09-29,http://www.ajunews.com/view/20210929064932663,재난 지원금
한국섬유신문,"5차 국민지원금, 소비진작 효과 10~20%에 그쳐",2021-10-01,http://www.ktnews.com/news/articleView.html?idxno=121065,재난 지원금
아주경제,국민지원금 24일간 4150만명 지급…이의신청 35만건 넘어,2021-09-30,http://www.ajunews.com/view/20210930104314743,재난 지원금
제주교통복지신문,"대전시, 학교 밖 청소년 교육재난지원금 지원",15분 전,http://www.jejutwn.com/news/article.html?no=94822,재난 지원금
일요신문,"고양시, 정부 재난지원금 ‘못 받은’ 시민도 25만 원씩 지급",2021-09-30,https://ilyo.co.kr/?ac=article_view&entry_id=412652,재난 지원금
이뉴스투데이,영월 녹전3리 자체 재난지원금 지급 화제,2021-09-30,http://www.enewstoday.co.kr/news/articleView.html?idxno=1515498,재난 지원금
뉴스1,"""서울지하철 연말 모라토리엄 우려…특별재난지원금 지원해야""",2021-09-29,https://www.news1.kr/articles/?4445611,재난 지원금
