키워드,언론사,기사명,날짜,URL
오피니언타임스,"윤종규 KB금융 회장 ""끊김없는 서비스로 고객 불편 없애야"" ",2021-09-29,http://www.opiniontimes.co.kr/news/articleView.html?idxno=82873,소비트렌드 변화
뉴시스,"인천시, 강소농 역량강화에 나선다",2021-09-28,http://www.newsis.com/view/?id=NISX20210928_0001595036&cID=10802&pID=14000,소비트렌드 변화
뉴스웨이,"롯데마트, 빅마켓 흥행 실패에 줄폐점→돌연 확대 선회 배경은?",2021-10-01,http://www.newsway.co.kr/news/view?tp=1&ud=2021093017201330935,소비트렌드 변화
경인매일,"포천시, 언택트 기술보급 평가회 개최",2021-09-30,http://www.kmaeil.com/news/articleView.html?idxno=308537,소비트렌드 변화
제주교통복지신문,"김천시 농산물종합유통타운, 농산물 유통구조 혁신",2021-09-30,http://www.jejutwn.com/news/article.html?no=94046,소비트렌드 변화
디지털타임스,[기고] MZ세대는 `명품` 어떻게 소비하나,22면 1단,http://www.dt.co.kr/contents.html?article_no=2021090802102269660001&ref=naver,소비트렌드 변화
매일경제,코로나 시대에 변화하는 소비 트렌드 ‘힐스에비뉴 도안’ 시대에 발맞춘 특화...,2021.08.30.,http://news.mk.co.kr/newsRead.php?no=835889&year=2021,소비트렌드 변화
KOTRA해외시장뉴스,"독일 소비자를 사로잡는 키워드, 지속가능성",2021.09.06.,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190453,소비트렌드 변화
중앙일보,"편의점 봉지빵 무시마라…GS25, PB 브레디크 1000만개 판매",2021-09-28,https://www.joongang.co.kr/article/25009971,소비트렌드 변화
데일리팝,[그것이 궁금] 코로나 팬데믹으로 변화하고 있는 소비 트렌드,2021.08.23.,http://www.dailypop.kr/news/articleView.html?idxno=53432,소비트렌드 변화
한국무역신문,"중국, 싱글족의 소비 트렌드를 알아본다",2021.09.08.,http://www.weeklytrade.co.kr/news/view.html?section=1&category=136&item=&no=75578,소비트렌드 변화
브레이크뉴스,"포천시, ‘2021년 농업기술보급사업 결과평가회’ 개최",2021-09-30,http://www.breaknews.com/837013,소비트렌드 변화
뷰어스,"KB금융, ‘소비자가 본 ESG와 친환경 소비 행동’ 발간",2021.09.07.,http://theviewers.co.kr/View.aspx?No=2029231,소비트렌드 변화
한국경제,필수품 뜨고 사치품 지고…美 소비 트렌드 변화가 주가 가른다,A23면 1단,https://www.hankyung.com/finance/article/2021082585861,소비트렌드 변화
경상매일신문,"<특집> 김천, 불황 파고 넘어…‘지역경제 활성화ㆍ고용 창출’ 노력 결실",2021-09-30,http://www.ksmnews.co.kr/default/index_view_page.php?idx=351515&part_idx=243,소비트렌드 변화
서울경제,"‘나심비’, ‘미닝아웃’ 바람 거세다···밀레니얼 세대따라 부동산 소비 ...",2021.08.20.,https://www.sedaily.com/NewsView/22Q9F9LIS1,소비트렌드 변화
헤드라인제주,"서귀포시, 시장경영패키지 지원사업에 2곳 후보 선정",2021-09-29,http://www.headlinejeju.co.kr/news/articleView.html?idxno=463754,소비트렌드 변화
파이낸셜뉴스,코로나19가 바꾼 시대 변화…소비 트렌드 대형상권 지고 ‘동네상권’ 뜬다,2021.08.11.,http://www.fnnews.com/news/202108111032353796,소비트렌드 변화
서울경제,[라썸 자영업 리포트] 코로나19로 변한 소비트렌드 TOP 4,2021.08.23.,https://www.sedaily.com/NewsView/22QATZJFW9,소비트렌드 변화
리얼캐스트,"핫 키워드로 떠오른 '슬세권', 내 집 가까이서 누리는 소비 트렌드에 단지 내...",2021.08.25.,http://www.rcast.co.kr/sub02.php?BRD_ID=1629804578114,소비트렌드 변화
컨슈머타임스,"농수산식품유통공사, 'K-FOOD' 신북방 거점 中 동북시장 공략",2021-09-29,http://www.cstimes.com/news/articleView.html?idxno=475632,소비트렌드 변화
